1.1,1.2,1.3,2.1,2.2,2.3,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3
Recife,Boa Vista,Coelhos,Arruda,Água Fria,Beberibe,Aflitos,Alto José Bonifácio,Brejo da Guabiraba,Cordeiro,Engenho do Meio,Caxangá,Afogados,Areias,Barro,Boa Viagem,Ibura,Cohab
Santo Amaro,Cabanga,Ilha Joana Bezerra,Campina do Barreto,Alto Santa Teresinha,Dois Unidos,Alto do Mandu,Alto José do Pinho,Brejo de Beberibe,Ilha do Retiro,Torrões,Cidade Universitária,Bongi,Caçote,Coqueiral,Brasília Teimosa,Jordão,
,Ilha do Leite,,Campo Grande,Bomba do Hemetério,Linha do Tiro,Apipucos,Mangabeira,Córrego do Jenipapo,Iputinga,,Várzea,Mangueira,Estância,Curado,Imbiribeira,,
,Paissandu,,Encruzilhada,Cajueiro,,Casa Amarela,Morro da Conceição,Guabiraba,Madalena,,,Mustardinha,Jiquiá,Jardim São Paulo,Ipsep,,
,Santo Antônio,,Hipódromo,Fundão,,Casa Forte,Vasco da Gama,Macaxeira,Prado,,,San Martin,,Sancho,Pina,,
,São José,,Peixinhos,Porto da Madeira,,Derby,,Nova Descoberta,Torre,,,,,Tejipió,,,
,Soledade,,Ponto de Parada,Beberibe,,Dois Irmãos,,Passarinho,Zumbi,,,,,Totó,,,
,,,Rosarinho,Dois Unidos,,Espinheiro,,Pau-Ferro,,,,,,,,,
,,,Torreão,Linha do Tiro,,Graças,,,,,,,,,,,
,,,,,,Jaqueira,,,,,,,,,,,
,,,,,,Monteiro,,,,,,,,,,,
,,,,,,Parnamirim,,,,,,,,,,,
,,,,,,Poço,,,,,,,,,,,
,,,,,,Santana,,,,,,,,,,,
,,,,,,Sítio dos Pintos,,,,,,,,,,,
,,,,,,Tamarineira,,,,,,,,,,,
