bairro,microrregiao
recife,1.1
boa vista,1.2
coelhos,1.3
arruda,2.1
agua fria,2.2
beberibe,2.3
aflitos,3.1
alto jose bonifacio,3.2
brejo da guabiraba,3.3
cordeiro,4.1
engenho do meio,4.2
caxanga,4.3
afogados,5.1
areias,5.2
barro,5.3
boa viagem,6.1
ibura,6.2
cohab,6.3
santo amaro,1.1
cabanga,1.2
ilha joana bezerra,1.3
campina do barreto,2.1
alto santa teresinha,2.2
dois unidos,2.3
alto do mandu,3.1
alto jose do pinho,3.2
brejo de beberibe,3.3
ilha do retiro,4.1
torroes,4.2
cidade universitaria,4.3
bongi,5.1
cacote,5.2
coqueiral,5.3
brasilia teimosa,6.1
jordao,6.2
ilha do leite,1.2
campo grande,2.1
bomba do hemeterio,2.2
linha do tiro,2.3
apipucos,3.1
mangabeira,3.2
corrego do jenipapo,3.3
iputinga,4.1
varzea,4.3
mangueira,5.1
estancia,5.2
curado,5.3
imbiribeira,6.1
paissandu,1.2
encruzilhada,2.1
cajueiro,2.2
casa amarela,3.1
morro da conceicao,3.2
guabiraba,3.3
madalena,4.1
mustardinha,5.1
jiquia,5.2
jardim sao paulo,5.3
ipsep,6.1
santo antonio,1.2
hipodromo,2.1
fundao,2.2
casa forte,3.1
vasco da gama,3.2
macaxeira,3.3
prado,4.1
san martin,5.1
sancho,5.3
pina,6.1
sao jose,1.2
peixinhos,2.1
porto da madeira,2.2
derby,3.1
nova descoberta,3.3
torre,4.1
tejipio,5.3
soledade,1.2
ponto de parada,2.1
dois irmaos,3.1
passarinho,3.3
zumbi,4.1
toto,5.3
rosarinho,2.1
espinheiro,3.1
pau-ferro,3.3
torreao,2.1
gracas,3.1
jaqueira,3.1
monteiro,3.1
parnamirim,3.1
poco,3.1
santana,3.1
sitio dos pintos,3.1
tamarineira,3.1
